XBAR.I0:AE X,XBAR.I0:AE Y,r0 X,r0 Y,XBAR.I0:OE X,XBAR.I0:OE Y
2.982005784793562e-11,-0.0007892920628267072,2.982005784793562e-11,-1.396898713983815,2.982005784793562e-11,0.0007892920628267072
3.080004437175895e-11,-0.0007898709837922037,3.080004437175895e-11,-1.396796795385337,3.080004437175895e-11,0.0007898709837922037
3.20150551834278e-11,-0.0007910019427397677,3.20150551834278e-11,-1.396670434260924,3.20150551834278e-11,0.0007910019427397677
3.262256058926223e-11,-0.0007923654119553365,3.262256058926223e-11,-1.396607253698717,3.262256058926223e-11,0.0007923654119553365
3.383757140093109e-11,-0.0007930350095936039,3.383757140093109e-11,-1.396480892574303,3.383757140093109e-11,0.0007930350095936039
3.552471874902722e-11,-0.0007940903931681562,3.552471874902722e-11,-1.396305429250101,3.552471874902722e-11,0.0007940903931681562
3.79328235776741e-11,-0.0007954324951007517,3.79328235776741e-11,-1.396054986347922,3.79328235776741e-11,0.0007954324951007517
3.89761488146328e-11,-0.0007972289084337131,3.89761488146328e-11,-1.395946480523278,3.89761488146328e-11,0.0007972289084337131
4.073846580070591e-11,-0.0007979600141879469,4.073846580070591e-11,-1.395763199556727,4.073846580070591e-11,0.0007979600141879469
4.325687755649717e-11,-0.0007988852127913443,4.325687755649717e-11,-1.395501284734124,4.325687755649717e-11,0.0007988852127913443
4.396947143666106e-11,-0.0008002071755877843,4.396947143666106e-11,-1.395427174970587,4.396947143666106e-11,0.0008002071755877843
4.539465919698884e-11,-0.000800584224131583,4.539465919698884e-11,-1.395278955443513,4.539465919698884e-11,0.000800584224131583
4.797671502790517e-11,-0.000801081419050329,4.797671502790517e-11,-1.395010421637098,4.797671502790517e-11,0.000801081419050329
5.083035369801247e-11,-0.0008019899387565301,5.083035369801247e-11,-1.394713643215407,5.083035369801247e-11,0.0008019899387565301
5.208035369801248e-11,-0.0008030248262156291,5.208035369801248e-11,-1.394583643215407,5.208035369801248e-11,0.0008030248262156291
5.458035369801248e-11,-0.0008033854157648955,5.458035369801248e-11,-1.394323643215407,5.458035369801248e-11,0.0008033854157648955
5.807523776234296e-11,-0.0008039698631042397,5.807523776234296e-11,-1.393960175272716,5.807523776234296e-11,0.0008039698631042397
6.301644309955929e-11,-0.0008047156491936342,6.301644309955929e-11,-1.393446289917646,6.301644309955929e-11,0.0008047156491936342
6.426644309955929e-11,-0.0008058963303259514,6.426644309955929e-11,-1.393316289917646,6.426644309955929e-11,0.0008058963303259514
6.676644309955928e-11,-0.0008061317914143841,6.676644309955928e-11,-1.393056289917646,6.676644309955928e-11,0.0008061317914143841
7.146962713279285e-11,-0.000806395359679693,7.146962713279285e-11,-1.392567158778189,7.146962713279285e-11,0.000806395359679693
7.271962713279284e-11,-0.0008071976627464048,7.271962713279284e-11,-1.392437158778189,7.271962713279284e-11,0.0008071976627464048
7.521962713279283e-11,-0.0008073369067585431,7.521962713279283e-11,-1.392177158778189,7.521962713279283e-11,0.0008073369067585431
8.021962713279282e-11,-0.0008074784083584641,8.021962713279282e-11,-1.391657158778189,8.021962713279282e-11,0.0008074784083584641
8.521962713279281e-11,-0.0008079451010361042,8.521962713279281e-11,-1.39113715877819,8.521962713279281e-11,0.0008079451010361042
8.646962713279281e-11,-0.0008085575298404793,8.646962713279281e-11,-1.391007158778189,8.646962713279281e-11,0.0008085575298404793
8.89696271327928e-11,-0.0008086125895671974,8.89696271327928e-11,-1.390747158778189,8.89696271327928e-11,0.0008086125895671974
9.396962713279278e-11,-0.0008086307333273538,9.396962713279278e-11,-1.390227158778189,9.396962713279278e-11,0.0008086307333273538
9.896962713279278e-11,-0.0008088873749525606,9.896962713279278e-11,-1.38970715877819,9.896962713279278e-11,0.0008088873749525606
1.002196271327928e-10,-0.0008092926411098013,1.002196271327928e-10,-1.38957715877819,1.002196271327928e-10,0.0008092926411098013
1.027196271327928e-10,-0.0008092999211913579,1.027196271327928e-10,-1.389317158778189,1.027196271327928e-10,0.0008092999211913579
1.077196271327927e-10,-0.0008092352721069378,1.077196271327927e-10,-1.38879715877819,1.077196271327927e-10,0.0008092352721069378
1.089696271327927e-10,-0.000809536787184622,1.089696271327927e-10,-1.388667158778189,1.089696271327927e-10,0.000809536787184622
1.114696271327927e-10,-0.000809513394221808,1.114696271327927e-10,-1.388407158778189,1.114696271327927e-10,0.000809513394221808
1.164696271327927e-10,-0.000809414193877421,1.164696271327927e-10,-1.38788715877819,1.164696271327927e-10,0.000809414193877421
1.214696271327927e-10,-0.0008094445233254348,1.214696271327927e-10,-1.38736715877819,1.214696271327927e-10,0.0008094445233254348
1.227196271327927e-10,-0.0008096502470678103,1.227196271327927e-10,-1.38723715877819,1.227196271327927e-10,0.0008096502470678103
1.252196271327927e-10,-0.0008095977283081405,1.252196271327927e-10,-1.386977158778189,1.252196271327927e-10,0.0008095977283081405
1.302196271327927e-10,-0.0008094517082099537,1.302196271327927e-10,-1.38645715877819,1.302196271327927e-10,0.0008094517082099537
1.352196271327927e-10,-0.0008093959695999031,1.352196271327927e-10,-1.385937158778189,1.352196271327927e-10,0.0008093959695999031
1.364696271327927e-10,-0.0008095230311843197,1.364696271327927e-10,-1.385807158778189,1.364696271327927e-10,0.0008095230311843197
1.389696271327927e-10,-0.0008094413948427682,1.389696271327927e-10,-1.38554715877819,1.389696271327927e-10,0.0008094413948427682
1.439696271327927e-10,-0.0008092634014540252,1.439696271327927e-10,-1.385027158778189,1.439696271327927e-10,0.0008092634014540252
1.452196271327927e-10,-0.0008093421297070876,1.452196271327927e-10,-1.38489715877819,1.452196271327927e-10,0.0008093421297070876
1.477196271327927e-10,-0.0008092499625065406,1.477196271327927e-10,-1.384637158778189,1.477196271327927e-10,0.0008092499625065406
1.527196271327926e-10,-0.0008090520094143793,1.527196271327926e-10,-1.38411715877819,1.527196271327926e-10,0.0008090520094143793
